1,1,2
2,4,6
3,9,12
4,16,20
5,25,30
6,36,42
7,49,56
8,64,72
9,81,90
10,100,110
11,121,132
12,144,156
13,169,182
14,196,210
15,225,240
16,256,272
17,289,306
18,324,342
19,361,380
20,400,420
21,441,462
22,484,506
23,529,552
24,576,600
25,625,650
26,676,702
27,729,756
28,784,812
29,841,870
30,900,930
31,961,992
32,1024,1056
33,1089,1122
34,1156,1190
35,1225,1260
36,1296,1332
37,1369,1406
38,1444,1482
39,1521,1560
40,1600,1640
41,1681,1722
42,1764,1806
43,1849,1892
44,1936,1980
45,2025,2070
46,2116,2162
47,2209,2256
48,2304,2352
49,2401,2450
50,2500,2550
51,2601,2652
52,2704,2756
53,2809,2862
54,2916,2970
55,3025,3080
56,3136,3192
57,3249,3306
58,3364,3422
59,3481,3540
60,3600,3660
61,3721,3782
62,3844,3906
63,3969,4032
64,4096,4160
65,4225,4290
66,4356,4422
67,4489,4556
68,4624,4692
69,4761,4830
70,4900,4970
71,5041,5112
72,5184,5256
73,5329,5402
74,5476,5550
75,5625,5700
76,5776,5852
77,5929,6006
78,6084,6162
79,6241,6320
80,6400,6480
81,6561,6642
82,6724,6806
83,6889,6972
84,7056,7140
85,7225,7310
86,7396,7482
87,7569,7656
88,7744,7832
89,7921,8010
90,8100,8190
91,8281,8372
92,8464,8556
93,8649,8742
94,8836,8930
95,9025,9120
96,9216,9312
97,9409,9506
98,9604,9702
99,9801,9900
100,10000,10100
101,10201,10302
102,10404,10506
103,10609,10712
104,10816,10920
105,11025,11130
106,11236,11342
107,11449,11556
108,11664,11772
109,11881,11990
110,12100,12210
111,12321,12432
112,12544,12656
113,12769,12882
114,12996,13110
115,13225,13340
116,13456,13572
117,13689,13806
118,13924,14042
119,14161,14280
120,14400,14520
121,14641,14762
122,14884,15006
123,15129,15252
124,15376,15500
125,15625,15750
126,15876,16002
127,16129,16256
128,16384,16512
129,16641,16770
130,16900,17030
131,17161,17292
132,17424,17556
133,17689,17822
134,17956,18090
135,18225,18360
136,18496,18632
137,18769,18906
138,19044,19182
139,19321,19460
140,19600,19740
141,19881,20022
142,20164,20306
143,20449,20592
144,20736,20880
145,21025,21170
146,21316,21462
147,21609,21756
148,21904,22052
149,22201,22350
150,22500,22650
151,22801,22952
152,23104,23256
153,23409,23562
154,23716,23870
155,24025,24180
156,24336,24492
157,24649,24806
158,24964,25122
159,25281,25440
160,25600,25760
161,25921,26082
162,26244,26406
163,26569,26732
164,26896,27060
165,27225,27390
166,27556,27722
167,27889,28056
168,28224,28392
169,28561,28730
170,28900,29070
171,29241,29412
172,29584,29756
173,29929,30102
174,30276,30450
175,30625,30800
176,30976,31152
177,31329,31506
178,31684,31862
179,32041,32220
180,32400,32580
181,32761,32942
182,33124,33306
183,33489,33672
184,33856,34040
185,34225,34410
186,34596,34782
187,34969,35156
188,35344,35532
189,35721,35910
190,36100,36290
191,36481,36672
192,36864,37056
193,37249,37442
194,37636,37830
195,38025,38220
196,38416,38612
197,38809,39006
198,39204,39402
199,39601,39800
200,40000,40200
201,40401,40602
202,40804,41006
203,41209,41412
204,41616,41820
205,42025,42230
206,42436,42642
207,42849,43056
208,43264,43472
209,43681,43890
210,44100,44310
211,44521,44732
212,44944,45156
213,45369,45582
214,45796,46010
215,46225,46440
216,46656,46872
217,47089,47306
218,47524,47742
219,47961,48180
220,48400,48620
221,48841,49062
222,49284,49506
223,49729,49952
224,50176,50400
225,50625,50850
226,51076,51302
227,51529,51756
228,51984,52212
229,52441,52670
230,52900,53130
231,53361,53592
232,53824,54056
233,54289,54522
234,54756,54990
235,55225,55460
236,55696,55932
237,56169,56406
238,56644,56882
239,57121,57360
240,57600,57840
241,58081,58322
242,58564,58806
243,59049,59292
244,59536,59780
245,60025,60270
246,60516,60762
247,61009,61256
248,61504,61752
249,62001,62250
250,62500,62750
251,63001,63252
252,63504,63756
253,64009,64262
254,64516,64770
255,65025,65280
256,65536,65792
257,66049,66306
258,66564,66822
259,67081,67340
260,67600,67860
261,68121,68382
262,68644,68906
263,69169,69432
264,69696,69960
265,70225,70490
266,70756,71022
267,71289,71556
268,71824,72092
269,72361,72630
270,72900,73170
271,73441,73712
272,73984,74256
273,74529,74802
274,75076,75350
275,75625,75900
276,76176,76452
277,76729,77006
278,77284,77562
279,77841,78120
280,78400,78680
281,78961,79242
282,79524,79806
283,80089,80372
284,80656,80940
285,81225,81510
286,81796,82082
287,82369,82656
288,82944,83232
289,83521,83810
290,84100,84390
291,84681,84972
292,85264,85556
293,85849,86142
294,86436,86730
295,87025,87320
296,87616,87912
297,88209,88506
298,88804,89102
299,89401,89700
300,90000,90300
301,90601,90902
302,91204,91506
303,91809,92112
304,92416,92720
305,93025,93330
306,93636,93942
307,94249,94556
308,94864,95172
309,95481,95790
310,96100,96410
311,96721,97032
312,97344,97656
313,97969,98282
314,98596,98910
315,99225,99540
316,99856,100172
317,100489,100806
318,101124,101442
319,101761,102080
320,102400,102720
321,103041,103362
322,103684,104006
323,104329,104652
324,104976,105300
325,105625,105950
326,106276,106602
327,106929,107256
328,107584,107912
329,108241,108570
330,108900,109230
331,109561,109892
332,110224,110556
333,110889,111222
334,111556,111890
335,112225,112560
336,112896,113232
337,113569,113906
338,114244,114582
339,114921,115260
340,115600,115940
